JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
Hive-linux-ARM-trunk #50,50,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/50/,2020-06-06T01:52:00.908000,UNSTABLE,4725,53,6
Hive-linux-ARM-trunk #49,49,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/49/,2020-06-05T01:52:00.908000,UNSTABLE,17694,465,1
Hive-linux-ARM-trunk #48,48,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/48/,2020-06-04T06:38:32.913000,UNSTABLE,17694,465,3
Hive-linux-ARM-trunk #47,47,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/47/,2020-06-04T01:52:00.899000,ABORTED,11744,375,0
Hive-linux-ARM-trunk #46,46,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/46/,2020-06-03T01:52:00.897000,UNSTABLE,17679,457,2
Hive-linux-ARM-trunk #45,45,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/45/,2020-06-02T01:52:00.904000,UNSTABLE,17807,451,842
Hive-linux-ARM-trunk #44,44,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/44/,2020-06-01T01:52:00.901000,UNSTABLE,17804,458,1
Hive-linux-ARM-trunk #43,43,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/43/,2020-05-31T01:52:00.903000,UNSTABLE,17805,451,842
Hive-linux-ARM-trunk #42,42,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/42/,2020-05-30T01:52:00.905000,UNSTABLE,17804,458,1
Hive-linux-ARM-trunk #41,41,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/41/,2020-05-29T01:57:04.043000,UNSTABLE,17843,433,6
Hive-linux-ARM-trunk #40,40,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/40/,2020-05-28T03:55:43.384000,UNSTABLE,17841,433,7
Hive-linux-ARM-trunk #39,39,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/39/,2020-05-27T01:52:00.912000,UNSTABLE,17840,433,9
Hive-linux-ARM-trunk #38,38,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/38/,2020-05-26T01:52:00.905000,UNSTABLE,17837,433,6
Hive-linux-ARM-trunk #37,37,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/37/,2020-05-25T01:52:00.938000,UNSTABLE,17835,433,4
Hive-linux-ARM-trunk #36,36,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/36/,2020-05-24T01:52:00.904000,UNSTABLE,17835,433,6
Hive-linux-ARM-trunk #35,35,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/35/,2020-05-23T01:52:00.909000,UNSTABLE,17835,433,8
JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
Hive-linux-ARM-trunk #55,55,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/55/,2020-06-11T01:52:00.902000,None,0,0,0
Hive-linux-ARM-trunk #54,54,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/54/,2020-06-10T01:52:00.900000,UNSTABLE,10267,273,3
Hive-linux-ARM-trunk #53,53,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/53/,2020-06-09T01:52:00.898000,UNSTABLE,17789,465,4
Hive-linux-ARM-trunk #52,52,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/52/,2020-06-08T01:52:00.900000,UNSTABLE,17697,467,3
Hive-linux-ARM-trunk #51,51,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/51/,2020-06-07T01:52:00.909000,SUCCESS,17696,466,0
Hive-linux-ARM-trunk #50,50,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/50/,2020-06-06T01:52:00.908000,UNSTABLE,17559,465,6
Hive-linux-ARM-trunk #49,49,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/49/,2020-06-05T01:52:00.908000,UNSTABLE,17694,465,1
Hive-linux-ARM-trunk #48,48,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/48/,2020-06-04T06:38:32.913000,UNSTABLE,17694,465,3
Hive-linux-ARM-trunk #47,47,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/47/,2020-06-04T01:52:00.899000,ABORTED,11744,375,0
Hive-linux-ARM-trunk #46,46,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/46/,2020-06-03T01:52:00.897000,UNSTABLE,17679,457,2
Hive-linux-ARM-trunk #45,45,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/45/,2020-06-02T01:52:00.904000,UNSTABLE,17807,451,842
Hive-linux-ARM-trunk #44,44,https://builds.apache.org/view/H-L/view/Hive/job/Hive-linux-ARM-trunk/44/,2020-06-01T01:52:00.901000,UNSTABLE,17804,458,1
